scene_id,task_type,task,filename,target_object_labels,target_object_ids,target_object_ids_short,affordance_labels,affordance_ids,affordance_actions,all_target_node_ids
0kitchen,implicit,my hands are dirty,0kitchen_my-hands-are-dirty_GT.json,kitchen sink,dfae4ca4-7a87-402c-b5b7-a64354650b19,dfae4ca4,faucet / handle,e1eae47e-45a4-4419-8b53-ca57f802ad0c,faucet / handle: control the water flow,dfae4ca4-7a87-402c-b5b7-a64354650b19; e1eae47e-45a4-4419-8b53-ca57f802ad0c
0kitchen,explicit,open the cabinet,0kitchen_open-the-cabinet_GT.json,cabinet,df66abca-4f71-4cad-a55f-a68ab5f77404,df66abca,knob,f05bcfeb-2db5-4847-af36-e9b9347adb53,knob: pull to open or close,df66abca-4f71-4cad-a55f-a68ab5f77404; f05bcfeb-2db5-4847-af36-e9b9347adb53
0kitchen,explicit,open the dishwasher,0kitchen_open-the-dishwasher_GT.json,dishwasher,620851fe-b35f-4de6-912e-2ad779c993a9,620851fe,,,,620851fe-b35f-4de6-912e-2ad779c993a9
0kitchen,explicit,open the door,0kitchen_open-the-door_GT.json,door,34cd4100-47fb-4288-a81b-7b509b7dc996,34cd4100,handle,12c8dbf9-5804-4081-95fb-f33ebcf78262,handle: rotate to open or close,34cd4100-47fb-4288-a81b-7b509b7dc996; 12c8dbf9-5804-4081-95fb-f33ebcf78262
0kitchen,explicit,open the fridge,0kitchen_open-the-fridge_GT.json,fridge,ca2b0708-a2b8-4f41-af84-2bf82994b95d,ca2b0708,handle,e5379d07-9084-445f-8b2d-38f3ae136b02,handle: pull to open or close,ca2b0708-a2b8-4f41-af84-2bf82994b95d; e5379d07-9084-445f-8b2d-38f3ae136b02
0kitchen,explicit,open the kitchen cabinet,0kitchen_open-the-kitchen-cabinet_139ec106_GT.json,kitchen cabinet,139ec106-b936-4d61-bb37-3c4194d00f6b,139ec106,knob,f9fe3c99-9aeb-43f0-b61c-50745b3d8105,knob: pull to open or close,139ec106-b936-4d61-bb37-3c4194d00f6b; f9fe3c99-9aeb-43f0-b61c-50745b3d8105
0kitchen,explicit,open the kitchen cabinet,0kitchen_open-the-kitchen-cabinet_3312a095_GT.json,kitchen cabinet,3312a095-0d16-410b-aac2-4b0c41101a99,3312a095,knob; knob; knob; knob,6e00881c-a983-4cd5-9bf9-ad4ace3d0319; 8883dc69-12a0-45eb-ad61-1f1a9674c9e0; acf92087-2ff9-4fe8-9064-9b1d4725674a; 1f8267da-e2af-4ad5-b523-1f4d12edbd02,knob: pull to open or close; knob: pull to open or close; knob: pull to open or close; knob: pull to open or close,3312a095-0d16-410b-aac2-4b0c41101a99; 6e00881c-a983-4cd5-9bf9-ad4ace3d0319; 8883dc69-12a0-45eb-ad61-1f1a9674c9e0; acf92087-2ff9-4fe8-9064-9b1d4725674a; 1f8267da-e2af-4ad5-b523-1f4d12edbd02
0kitchen,explicit,open the kitchen cabinet,0kitchen_open-the-kitchen-cabinet_497e0d19_GT.json,kitchen cabinet,497e0d19-d67a-4da0-a507-bbe96e9329d6,497e0d19,knob; knob; knob,0aa2c320-71f1-4977-8f0d-5acd609e4743; 626f6834-3490-4d7d-8c01-7c1808f75a58; 968148bd-a8ce-4f77-88af-915d1a3cfadf,knob: pull to open or close; knob: pull to open or close; knob: pull to open or close,497e0d19-d67a-4da0-a507-bbe96e9329d6; 0aa2c320-71f1-4977-8f0d-5acd609e4743; 626f6834-3490-4d7d-8c01-7c1808f75a58; 968148bd-a8ce-4f77-88af-915d1a3cfadf
0kitchen,explicit,open the kitchen cabinet,0kitchen_open-the-kitchen-cabinet_fcd973a3_GT.json,kitchen cabinet,fcd973a3-39c9-4e84-a75f-abc957c42981,fcd973a3,knob; knob; knob; knob,10c8368a-7442-4ce9-a548-960b8bbacf26; 21bde071-9155-4ced-9f0e-4d3ab4066b76; df12f156-a009-44d6-9020-0839e1e20066; a41f1593-b8ee-466e-a830-22231b56001e,knob: pull to open or close; knob: pull to open or close; knob: pull to open or close; knob: pull to open or close,fcd973a3-39c9-4e84-a75f-abc957c42981; 10c8368a-7442-4ce9-a548-960b8bbacf26; 21bde071-9155-4ced-9f0e-4d3ab4066b76; df12f156-a009-44d6-9020-0839e1e20066; a41f1593-b8ee-466e-a830-22231b56001e
0kitchen,explicit,open the microwave oven,0kitchen_open-the-microwave-oven_GT.json,oven; microwave oven,3b913a4b-4f6b-4d1c-827c-423fa2de9efc; d92a7d97-1eb6-4340-bcb3-93a43e1235fb,3b913a4b; d92a7d97,handle; handle; knob; knob,51a22b55-9a95-4d7d-a04a-a2566ce01605; 44baaedb-72de-4653-aaf9-7f17959c98ec; 200216d8-7731-4642-b5a9-ed10fccbb417; 840b0e7a-144e-4aef-aae0-41b1d097d74a,"handle: pull to open or close; handle: pull to open or close; knob: rotate to open or close, adjust the setting; knob: rotate to open or close, adjust the setting",3b913a4b-4f6b-4d1c-827c-423fa2de9efc; d92a7d97-1eb6-4340-bcb3-93a43e1235fb; 51a22b55-9a95-4d7d-a04a-a2566ce01605; 44baaedb-72de-4653-aaf9-7f17959c98ec; 200216d8-7731-4642-b5a9-ed10fccbb417; 840b0e7a-144e-4aef-aae0-41b1d097d74a
0kitchen,explicit,open the oven,0kitchen_open-the-oven_GT.json,oven; microwave oven,3b913a4b-4f6b-4d1c-827c-423fa2de9efc; d92a7d97-1eb6-4340-bcb3-93a43e1235fb,3b913a4b; d92a7d97,handle; handle; knob; knob,51a22b55-9a95-4d7d-a04a-a2566ce01605; 44baaedb-72de-4653-aaf9-7f17959c98ec; 200216d8-7731-4642-b5a9-ed10fccbb417; 840b0e7a-144e-4aef-aae0-41b1d097d74a,"handle: pull to open or close; handle: pull to open or close; knob: rotate to open or close, adjust the setting; knob: rotate to open or close, adjust the setting",3b913a4b-4f6b-4d1c-827c-423fa2de9efc; d92a7d97-1eb6-4340-bcb3-93a43e1235fb; 51a22b55-9a95-4d7d-a04a-a2566ce01605; 44baaedb-72de-4653-aaf9-7f17959c98ec; 200216d8-7731-4642-b5a9-ed10fccbb417; 840b0e7a-144e-4aef-aae0-41b1d097d74a
0kitchen,implicit,someone is knocking at the door,0kitchen_someone-is-knocking-at-the-door_GT.json,door,34cd4100-47fb-4288-a81b-7b509b7dc996,34cd4100,handle,12c8dbf9-5804-4081-95fb-f33ebcf78262,handle: rotate to open or close,34cd4100-47fb-4288-a81b-7b509b7dc996; 12c8dbf9-5804-4081-95fb-f33ebcf78262
0kitchen,implicit,there is smoke in the room,0kitchen_there-is-smoke-in-the-room_GT.json,exhaust hood,86df6fd9-8bbd-4ed5-bfc3-3d101184e672,86df6fd9,knob; knob,f21fd874-dadf-440a-b74f-7529be92752f; 975cb651-8816-4d14-a1db-dfb33c81363b,"knob: rotate to open or close, adjust the setting; knob: rotate to open or close, adjust the setting",86df6fd9-8bbd-4ed5-bfc3-3d101184e672; f21fd874-dadf-440a-b74f-7529be92752f; 975cb651-8816-4d14-a1db-dfb33c81363b
0kitchen,explicit,turn on the exhaust hood,0kitchen_turn-on-the-exhaust-hood_GT.json,exhaust hood,86df6fd9-8bbd-4ed5-bfc3-3d101184e672,86df6fd9,knob; knob,f21fd874-dadf-440a-b74f-7529be92752f; 975cb651-8816-4d14-a1db-dfb33c81363b,"knob: rotate to open or close, adjust the setting; knob: rotate to open or close, adjust the setting",86df6fd9-8bbd-4ed5-bfc3-3d101184e672; f21fd874-dadf-440a-b74f-7529be92752f; 975cb651-8816-4d14-a1db-dfb33c81363b
0kitchen,explicit,use the kettle,0kitchen_use-the-kettle_GT.json,kettle,87771722-9826-4f4a-838d-062a6e30c79e,87771722,,,,87771722-9826-4f4a-838d-062a6e30c79e
0kitchen,explicit,use the kitchen sink,0kitchen_use-the-kitchen-sink_GT.json,kitchen sink,dfae4ca4-7a87-402c-b5b7-a64354650b19,dfae4ca4,faucet / handle,e1eae47e-45a4-4419-8b53-ca57f802ad0c,faucet / handle: control the water flow,dfae4ca4-7a87-402c-b5b7-a64354650b19; e1eae47e-45a4-4419-8b53-ca57f802ad0c
10kitchen,implicit,I am hungry,10kitchen_i-am-hungry_02c5fb08_GT.json,kitchen cabinet,02c5fb08-9d63-4b5d-990c-959aacacef35,02c5fb08,knob; knob; knob; knob; knob; knob,198a7f88-1288-4d83-a22e-79a5c92f5a41; f7a5dadd-a40a-43c0-bec2-a19a56e9e224; 36122ed7-ac7f-4d86-a735-3f91e9883871; 67a2bf27-2929-4c3f-aaf6-0d792d035a00; 876f26c5-f7a6-434a-83c5-2c8258ac1098; 80d073d2-5781-4402-b256-80d645450614,knob: pull to open or close; knob: pull to open or close; knob: pull to open or close; knob: pull to open or close; knob: pull to open or close; knob: pull to open or close,02c5fb08-9d63-4b5d-990c-959aacacef35; 198a7f88-1288-4d83-a22e-79a5c92f5a41; f7a5dadd-a40a-43c0-bec2-a19a56e9e224; 36122ed7-ac7f-4d86-a735-3f91e9883871; 67a2bf27-2929-4c3f-aaf6-0d792d035a00; 876f26c5-f7a6-434a-83c5-2c8258ac1098; 80d073d2-5781-4402-b256-80d645450614
10kitchen,implicit,I am hungry,10kitchen_i-am-hungry_2_GT.json,oven,ae2be5ef-53e8-4eba-b082-ab2a3d0d5d2c,ae2be5ef,knob; knob; knob; knob; knob; knob; handle,93d32795-244b-4413-bf44-c9247579d827; 30d8f765-bba8-49dc-8c5c-0c8fa7c6dc68; 464d32dd-ddcb-4ccf-b324-b76d06188f0d; ce2eb948-76c2-4d23-8529-b7fe4417c6e8; 01fbe19d-a02c-4541-a437-669aabe2e788; 95833d6f-1bb1-4280-be1d-74722a30e18b; fe2277f3-89db-4127-978d-f3eb812c3671,knob: rotate to adjust the setting; knob: rotate to adjust the setting; knob: rotate to adjust the setting; knob: rotate to adjust the setting; knob: rotate to adjust the setting; knob: rotate to adjust the setting; handle: pull to open or close,ae2be5ef-53e8-4eba-b082-ab2a3d0d5d2c; 93d32795-244b-4413-bf44-c9247579d827; 30d8f765-bba8-49dc-8c5c-0c8fa7c6dc68; 464d32dd-ddcb-4ccf-b324-b76d06188f0d; ce2eb948-76c2-4d23-8529-b7fe4417c6e8; 01fbe19d-a02c-4541-a437-669aabe2e788; 95833d6f-1bb1-4280-be1d-74722a30e18b; fe2277f3-89db-4127-978d-f3eb812c3671
10kitchen,implicit,I am hungry,10kitchen_i-am-hungry_3_GT.json,toaster,d907d11b-36eb-41d0-8a31-8fefbc6edd6f,d907d11b,,,,d907d11b-36eb-41d0-8a31-8fefbc6edd6f
10kitchen,implicit,I am hungry,10kitchen_i-am-hungry_GT.json,fridge,fb02e7db-ff70-4d40-9482-48d95be39b3a,fb02e7db,handle; handle,3085c5d2-b1ed-4a60-a8cb-20a150923be1; 597dde1f-aea5-4518-b956-5e7efdf7e831,handle: pull to open or close; handle: pull to open or close,fb02e7db-ff70-4d40-9482-48d95be39b3a; 3085c5d2-b1ed-4a60-a8cb-20a150923be1; 597dde1f-aea5-4518-b956-5e7efdf7e831
10kitchen,implicit,I am hungry,10kitchen_i-am-hungry_afb1db89_GT.json,kitchen cabinet,afb1db89-5b81-4e52-8c12-87bd59f636e0,afb1db89,knob; knob,ae3b0fc0-1e7b-4a8a-8b4c-c9e65af2cb7a; ba7544bc-fb6d-4820-91c5-2693261707ff,knob: pull to open or close; knob: pull to open or close,afb1db89-5b81-4e52-8c12-87bd59f636e0; ae3b0fc0-1e7b-4a8a-8b4c-c9e65af2cb7a; ba7544bc-fb6d-4820-91c5-2693261707ff
10kitchen,implicit,I am sleepy,10kitchen_i-am-sleepy_GT.json,coffee maker,66a7fdb1-99ff-4b62-8c8f-9f2870c27db1,66a7fdb1,handle,3db9ce2d-de5a-490d-a4bb-689a7205f7fa,handle: operate or adjust the flow or setting,66a7fdb1-99ff-4b62-8c8f-9f2870c27db1; 3db9ce2d-de5a-490d-a4bb-689a7205f7fa
10kitchen,implicit,my hands are dirty,10kitchen_my-hands-are-dirty_GT.json,kitchen sink,b21b3308-fd5f-4268-a397-a507c39b5f3a,b21b3308,faucet / handle,23590db4-43f4-4890-ab90-d674ce8af2f4,faucet / handle: control the water flow,b21b3308-fd5f-4268-a397-a507c39b5f3a; 23590db4-43f4-4890-ab90-d674ce8af2f4
10kitchen,explicit,open the fridge,10kitchen_open-the-fridge_GT.json,fridge,fb02e7db-ff70-4d40-9482-48d95be39b3a,fb02e7db,handle; handle,3085c5d2-b1ed-4a60-a8cb-20a150923be1; 597dde1f-aea5-4518-b956-5e7efdf7e831,handle: pull to open or close; handle: pull to open or close,fb02e7db-ff70-4d40-9482-48d95be39b3a; 3085c5d2-b1ed-4a60-a8cb-20a150923be1; 597dde1f-aea5-4518-b956-5e7efdf7e831
10kitchen,explicit,open the kitchen cabinet,10kitchen_open-the-kitchen-cabinet_02c5fb08_GT.json,kitchen cabinet,02c5fb08-9d63-4b5d-990c-959aacacef35,02c5fb08,knob; knob; knob; knob; knob; knob,198a7f88-1288-4d83-a22e-79a5c92f5a41; f7a5dadd-a40a-43c0-bec2-a19a56e9e224; 36122ed7-ac7f-4d86-a735-3f91e9883871; 67a2bf27-2929-4c3f-aaf6-0d792d035a00; 876f26c5-f7a6-434a-83c5-2c8258ac1098; 80d073d2-5781-4402-b256-80d645450614,knob: pull to open or close; knob: pull to open or close; knob: pull to open or close; knob: pull to open or close; knob: pull to open or close; knob: pull to open or close,02c5fb08-9d63-4b5d-990c-959aacacef35; 198a7f88-1288-4d83-a22e-79a5c92f5a41; f7a5dadd-a40a-43c0-bec2-a19a56e9e224; 36122ed7-ac7f-4d86-a735-3f91e9883871; 67a2bf27-2929-4c3f-aaf6-0d792d035a00; 876f26c5-f7a6-434a-83c5-2c8258ac1098; 80d073d2-5781-4402-b256-80d645450614
10kitchen,explicit,open the kitchen cabinet,10kitchen_open-the-kitchen-cabinet_afb1db89_GT.json,kitchen cabinet,afb1db89-5b81-4e52-8c12-87bd59f636e0,afb1db89,knob; knob,ae3b0fc0-1e7b-4a8a-8b4c-c9e65af2cb7a; ba7544bc-fb6d-4820-91c5-2693261707ff,knob: pull to open or close; knob: pull to open or close,afb1db89-5b81-4e52-8c12-87bd59f636e0; ae3b0fc0-1e7b-4a8a-8b4c-c9e65af2cb7a; ba7544bc-fb6d-4820-91c5-2693261707ff
10kitchen,explicit,open the oven,10kitchen_open-the-oven_GT.json,oven,ae2be5ef-53e8-4eba-b082-ab2a3d0d5d2c,ae2be5ef,knob; knob; knob; knob; knob; knob; handle,93d32795-244b-4413-bf44-c9247579d827; 30d8f765-bba8-49dc-8c5c-0c8fa7c6dc68; 464d32dd-ddcb-4ccf-b324-b76d06188f0d; ce2eb948-76c2-4d23-8529-b7fe4417c6e8; 01fbe19d-a02c-4541-a437-669aabe2e788; 95833d6f-1bb1-4280-be1d-74722a30e18b; fe2277f3-89db-4127-978d-f3eb812c3671,knob: rotate to adjust the setting; knob: rotate to adjust the setting; knob: rotate to adjust the setting; knob: rotate to adjust the setting; knob: rotate to adjust the setting; knob: rotate to adjust the setting; handle: pull to open or close,ae2be5ef-53e8-4eba-b082-ab2a3d0d5d2c; 93d32795-244b-4413-bf44-c9247579d827; 30d8f765-bba8-49dc-8c5c-0c8fa7c6dc68; 464d32dd-ddcb-4ccf-b324-b76d06188f0d; ce2eb948-76c2-4d23-8529-b7fe4417c6e8; 01fbe19d-a02c-4541-a437-669aabe2e788; 95833d6f-1bb1-4280-be1d-74722a30e18b; fe2277f3-89db-4127-978d-f3eb812c3671
10kitchen,explicit,use the coffee maker,10kitchen_use-the-coffee-maker_GT.json,coffee maker,66a7fdb1-99ff-4b62-8c8f-9f2870c27db1,66a7fdb1,handle,3db9ce2d-de5a-490d-a4bb-689a7205f7fa,handle: operate or adjust the flow or setting,66a7fdb1-99ff-4b62-8c8f-9f2870c27db1; 3db9ce2d-de5a-490d-a4bb-689a7205f7fa
10kitchen,explicit,use the kitchen sink,10kitchen_use-the-kitchen-sink_GT.json,kitchen sink,b21b3308-fd5f-4268-a397-a507c39b5f3a,b21b3308,faucet / handle,23590db4-43f4-4890-ab90-d674ce8af2f4,faucet / handle: control the water flow,b21b3308-fd5f-4268-a397-a507c39b5f3a; 23590db4-43f4-4890-ab90-d674ce8af2f4
10kitchen,explicit,use the toaster,10kitchen_use-the-toaster_GT.json,toaster,d907d11b-36eb-41d0-8a31-8fefbc6edd6f,d907d11b,,,,d907d11b-36eb-41d0-8a31-8fefbc6edd6f
11bedroom,implicit,I need office supplies from my desk,11bedroom_i-need-office-supplies-from-my-desk_GT.json,desk drawer,e461d8a7-bf31-487b-a848-1185950df166,e461d8a7,knob; knob; knob,4f273bf1-ea5e-4768-a4df-979a1e2d98e1; b1a5ee8d-b76e-4a7e-8077-0c6d9780e393; e42d78c4-a043-4003-b8ae-b8fdf38ed44b,knob: pull to open or close; knob: pull to open or close; knob: pull to open or close,e461d8a7-bf31-487b-a848-1185950df166; 4f273bf1-ea5e-4768-a4df-979a1e2d98e1; b1a5ee8d-b76e-4a7e-8077-0c6d9780e393; e42d78c4-a043-4003-b8ae-b8fdf38ed44b
11bedroom,implicit,it's dark in here,11bedroom_its-dark-in-here_015b3931_GT.json,lamp,015b3931-b261-4758-a138-d2eba2432be8,015b3931,,,,015b3931-b261-4758-a138-d2eba2432be8
11bedroom,implicit,it's dark in here,11bedroom_its-dark-in-here_57cb09de_GT.json,lamp,57cb09de-1c94-4f06-8042-6f0415650c2d,57cb09de,,,,57cb09de-1c94-4f06-8042-6f0415650c2d
11bedroom,implicit,it's dark in here,11bedroom_its-dark-in-here_7c2e7afd_GT.json,lamp,7c2e7afd-0278-4a23-974a-8b82b1b73e29,7c2e7afd,switch,fabac5d1-d4b8-4bbf-8af4-a1f6b5510fff,"switch: control, turn on or turn off",7c2e7afd-0278-4a23-974a-8b82b1b73e29; fabac5d1-d4b8-4bbf-8af4-a1f6b5510fff
11bedroom,implicit,it's dark in here,11bedroom_its-dark-in-here_9c76fe85_GT.json,lamp,9c76fe85-542e-46d1-885f-422eff1fb67f,9c76fe85,,,,9c76fe85-542e-46d1-885f-422eff1fb67f
11bedroom,explicit,open the desk drawer,11bedroom_open-the-desk-drawer_GT.json,desk drawer,e461d8a7-bf31-487b-a848-1185950df166,e461d8a7,knob; knob; knob,4f273bf1-ea5e-4768-a4df-979a1e2d98e1; b1a5ee8d-b76e-4a7e-8077-0c6d9780e393; e42d78c4-a043-4003-b8ae-b8fdf38ed44b,knob: pull to open or close; knob: pull to open or close; knob: pull to open or close,e461d8a7-bf31-487b-a848-1185950df166; 4f273bf1-ea5e-4768-a4df-979a1e2d98e1; b1a5ee8d-b76e-4a7e-8077-0c6d9780e393; e42d78c4-a043-4003-b8ae-b8fdf38ed44b
11bedroom,explicit,open the door,11bedroom_open-the-door_GT.json,door,ab079220-e682-4a0c-9c34-3022fa6ffe20,ab079220,handle,91d1304c-e3b0-49f6-9ac0-9ad498561b96,handle: rotate to open or close,ab079220-e682-4a0c-9c34-3022fa6ffe20; 91d1304c-e3b0-49f6-9ac0-9ad498561b96
11bedroom,explicit,open the window,11bedroom_open-the-window_GT.json,window,5999f46d-0997-42df-8f4a-c2ca938e6511,5999f46d,handle,edad5214-8d75-4e4f-a1c9-12bf78169766,handle: rotate to open or close,5999f46d-0997-42df-8f4a-c2ca938e6511; edad5214-8d75-4e4f-a1c9-12bf78169766
11bedroom,implicit,someone is knocking at the door,11bedroom_someone-is-knocking-at-the-door_GT.json,door,ab079220-e682-4a0c-9c34-3022fa6ffe20,ab079220,handle,91d1304c-e3b0-49f6-9ac0-9ad498561b96,handle: rotate to open or close,ab079220-e682-4a0c-9c34-3022fa6ffe20; 91d1304c-e3b0-49f6-9ac0-9ad498561b96
11bedroom,implicit,there is smoke in the room,11bedroom_there-is-smoke-in-the-room_GT.json,window,5999f46d-0997-42df-8f4a-c2ca938e6511,5999f46d,handle,edad5214-8d75-4e4f-a1c9-12bf78169766,handle: rotate to open or close,5999f46d-0997-42df-8f4a-c2ca938e6511; edad5214-8d75-4e4f-a1c9-12bf78169766
11bedroom,explicit,turn on the lamp,11bedroom_turn-on-the-lamp_015b3931_GT.json,lamp,015b3931-b261-4758-a138-d2eba2432be8,015b3931,,,,015b3931-b261-4758-a138-d2eba2432be8
11bedroom,explicit,turn on the lamp,11bedroom_turn-on-the-lamp_57cb09de_GT.json,lamp,57cb09de-1c94-4f06-8042-6f0415650c2d,57cb09de,,,,57cb09de-1c94-4f06-8042-6f0415650c2d
11bedroom,explicit,turn on the lamp,11bedroom_turn-on-the-lamp_7c2e7afd_GT.json,lamp,7c2e7afd-0278-4a23-974a-8b82b1b73e29,7c2e7afd,switch,fabac5d1-d4b8-4bbf-8af4-a1f6b5510fff,"switch: control, turn on or turn off",7c2e7afd-0278-4a23-974a-8b82b1b73e29; fabac5d1-d4b8-4bbf-8af4-a1f6b5510fff
11bedroom,explicit,turn on the lamp,11bedroom_turn-on-the-lamp_9c76fe85_GT.json,lamp,9c76fe85-542e-46d1-885f-422eff1fb67f,9c76fe85,,,,9c76fe85-542e-46d1-885f-422eff1fb67f
12kitchen,explicit,adjust the radiator temperature,12kitchen_adjust-the-radiator-temperature_GT.json,radiator,fb600ca1-8e82-47e0-888a-408fab813991,fb600ca1,knob,745544f4-a8ca-4bbe-aed8-986368200c4a,knob: rotate to adjust the temperature,fb600ca1-8e82-47e0-888a-408fab813991; 745544f4-a8ca-4bbe-aed8-986368200c4a
12kitchen,implicit,I am hungry,12kitchen_i-am-hungry_1df7ab42_GT.json,kitchen cabinet,1df7ab42-bac0-4282-9bef-f9fbc46cc5f0,1df7ab42,handle / knob; handle / knob,4ebc38b0-9d3d-41e2-8fdb-8dc3f1cabd9b; 285ac4e9-7741-4790-837e-1dbd4393055c,handle / knob: pull to open or close; handle / knob: pull to open or close,1df7ab42-bac0-4282-9bef-f9fbc46cc5f0; 4ebc38b0-9d3d-41e2-8fdb-8dc3f1cabd9b; 285ac4e9-7741-4790-837e-1dbd4393055c
